"LV.type","numberOfLaunches","numberOfFailures"
"1869",3,1
"1870",8,3
"1871",8,0
"1872",1,0
"1873",12,2
"1874",7,2
"1875",7,0
"1876",10,2
"1877",1,0
"1878",11,0
"1879",5,3
"1880",12,7
"1881",7,4
"1882",7,6
"1883",3,1
"1884",11,3
"1885",7,4
"1886",11,5
"1887",12,0
"1888",8,3
"1889",8,1
"1890",10,0
"1891",4,0
"1892",1,0
"1893",7,5
"1894",9,3
"1895",9,2
"1896",12,8
"1897",8,7
"1898",1,0
"1899",7,6
"1900",4,2
"1901",1,0
"1902",5,2
"1903",12,7
"1904",11,8
"1905",3,1
"1906",5,3
"1907",11,3
"1908",1,0
"1909",7,4
"1910",4,3
"1911",10,8
"1912",2,0
"1913",9,2
"1914",2,1
"1915",7,4
"1916",1,0
"1917",11,10
"1918",10,1
"1919",8,4
"1920",7,4
"1921",8,6
"1922",3,0
"1923",9,0
"1924",7,6
"1925",9,8
"1926",7,1
"1927",5,1
"1928",7,2
"1929",7,3
"1930",10,4
"1931",11,6
"1932",2,0
"1933",1,0
"1934",4,0
"1935",3,1
"1936",12,8
"1937",10,4
"1938",10,6
"1939",11,8
"1940",3,2
"1941",6,0
"1942",1,0
"1943",1,0
"1944",9,3
"1945",2,0
"1946",6,5
"1947",11,4
"1948",10,5
"1949",8,4
"1950",2,0
"1951",5,4
"1952",8,3
"1953",8,5
"1954",12,9
"1955",9,3
"1956",9,6
"1957",4,0
"1958",12,0
"1959",4,3
"1960",5,1
"1961",9,7
"1962",2,0
"1963",6,4
"1964",10,3
"1965",3,1
"1966",11,1
"1967",3,1
"1968",2,0
"1969",9,7
"1970",10,6
"1971",10,8
"1972",6,4
"1973",5,2
"1974",12,3
"1975",3,1
"1976",2,0
"1977",8,4
"1978",11,9
"1979",12,8
"1980",4,2
"1981",8,2
"1982",2,1
"1983",6,5
"1984",5,1
"1985",1,0
"1986",12,2
"1987",8,0
"1988",8,2
"1989",12,5
"1990",6,4
"1991",6,5
"1992",2,0
"1993",5,2
"1994",12,6
"1995",8,1
"1996",5,0
"1997",9,4
"1998",4,0
"1999",2,1
"2000",5,4
